Fold,Model,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,ErrorRate,BACC,TSS,HSS,AUC,BS,BSS
7,SVM_RBF,7.0,407.0,79.0,18.0,25.0,486.0,0.28,0.8374485596707819,0.16255144032921812,0.72,0.08139534883720931,0.28,0.12612612612612611,0.8101761252446184,0.18982387475538165,0.558724279835391,0.11744855967078191,0.054443829762881285,0.7009876543209876,0.08703714763096122,-0.8705536647361487
7,Conv1D,17.0,366.0,120.0,8.0,25.0,486.0,0.68,0.7530864197530864,0.24691358024691357,0.32,0.12408759124087591,0.68,0.20987654320987653,0.7495107632093934,0.25048923679060664,0.7165432098765432,0.4330864197530865,0.13859769267239108,0.8318518518518518,0.16470011254669667,-2.539642641012835
8,RandomForest,3.0,465.0,21.0,22.0,25.0,486.0,0.12,0.9567901234567902,0.043209876543209874,0.88,0.125,0.12,0.12244897959183673,0.9158512720156555,0.08414872798434447,0.538395061728395,0.07679012345679012,0.07827509543185536,0.8443621399176955,0.06169083694011803,-0.3258249409580698
8,SVM_RBF,13.0,399.0,87.0,12.0,25.0,486.0,0.52,0.8209876543209876,0.17901234567901234,0.48,0.13,0.52,0.208,0.8062622309197651,0.19373776908023488,0.6704938271604939,0.34098765432098765,0.1407388535031847,0.7779423868312757,0.08917514734732386,-0.9165023580642415
8,Conv1D,23.0,361.0,125.0,2.0,25.0,486.0,0.92,0.742798353909465,0.257201646090535,0.08,0.1554054054054054,0.92,0.2658959537572254,0.7514677103718199,0.24853228962818008,0.8313991769547325,0.6627983539094651,0.1988321420194314,0.8772839506172839,0.1600412177366832,-2.4395162812033266
9,RandomForest,3.0,471.0,15.0,22.0,25.0,486.0,0.12,0.9691358024691358,0.030864197530864196,0.88,0.16666666666666666,0.12,0.13953488372093023,0.9275929549902152,0.07240704500978479,0.5445679012345679,0.0891358024691358,0.10278555497556115,0.7991769547325102,0.05920281008381695,-0.2723536602383829
9,SVM_RBF,9.0,398.0,88.0,16.0,25.0,486.0,0.36,0.8189300411522634,0.18106995884773663,0.64,0.09278350515463918,0.36,0.14754098360655737,0.7964774951076321,0.2035225048923679,0.5894650205761317,0.17893004115226335,0.07562791344882766,0.7506172839506173,0.09130873229934153,-0.9623561717478468
9,Conv1D,18.0,360.0,126.0,7.0,25.0,486.0,0.72,0.7407407407407407,0.25925925925925924,0.28,0.125,0.72,0.21301775147928995,0.7397260273972602,0.26027397260273977,0.7303703703703703,0.46074074074074073,0.1414368549375308,0.8274074074074074,0.16653829078262644,-2.579147738884787
10,RandomForest,3.0,465.0,22.0,21.0,24.0,487.0,0.125,0.9548254620123203,0.045174537987679675,0.875,0.12,0.125,0.12244897959183673,0.9158512720156555,0.08414872798434447,0.5399127310061602,0.07982546201232033,0.07827509543185536,0.7644592744695414,0.0695095791286832,-0.5529098914836483
10,SVM_RBF,11.0,384.0,103.0,13.0,24.0,487.0,0.4583333333333333,0.7885010266940452,0.21149897330595482,0.5416666666666666,0.09649122807017543,0.4583333333333333,0.15942028985507245,0.7729941291585127,0.22700587084148727,0.6234171800136893,0.2468343600273785,0.0887064538941672,0.7405886379192334,0.09613149243698266,-1.1476686718546665
10,Conv1D,17.0,341.0,146.0,7.0,24.0,487.0,0.7083333333333334,0.7002053388090349,0.2997946611909651,0.2916666666666667,0.10429447852760736,0.7083333333333334,0.18181818181818182,0.700587084148728,0.29941291585127205,0.7042693360711841,0.4085386721423683,0.10885299716184332,0.7819130732375086,0.1883365238331236,-3.207616481847113
AVG,Conv1D,19.5,348.2,137.9,5.4,24.9,486.1,0.7828333333333333,0.7163168301771998,0.28368316982280023,0.21716666666666667,0.12425785225596928,0.7828333333333333,0.2143077698351768,0.7195694716242661,0.2804305283757339,0.7495750817552665,0.49915016351053315,0.14218803126174334,0.8193888381879484,0.17404437501741588,-2.756463632130367
AVG,RandomForest,2.8,468.6,17.5,22.1,24.9,486.1,0.1125,0.9640010647197507,0.03599893528024945,0.8875,0.1405952566525322,0.1125,0.1236349731225693,0.922504892367906,0.07749510763209397,0.5382505323598753,0.07650106471975056,0.0838863036750299,0.8033595076938678,0.06161896374184776,-0.33018517433922334
AVG,SVM_RBF,11.9,396.6,89.5,13.0,24.9,486.1,0.47783333333333333,0.8158871397064417,0.18411286029355844,0.5221666666666667,0.11673175537184018,0.47783333333333333,0.18747426332429895,0.799412915851272,0.20058708414872797,0.6468602365198874,0.2937204730397749,0.11861075676980828,0.7597461065902772,0.0872286825339155,-0.8828364695126103
